,Rap Name,Era,Songs,Lyrics
0,The Notorious B.I.G.,1990s,"Juicy, Big Poppa, Suicidal Thoughts, Hypnotize, Ten Crack Commandments, Who Shot Ya?, Notorious Thugs, Mo’ Money Mo’ Problems, Gimme the Loot, Dead Wrong, Kick in the Door, One More Chance, Warning, Everyday Struggle, Sky’s The Limit, Me & My Bitch, The What, What’s Beef?, Party and Bullshit, I Got a Story to Tell, Machine Gun Funk, Ready to Die, Going Back to Cali, Long Kiss Goodnight, Niggas Bleed","Funkmaster Flex, Lovebug Starski, Spread love, it's the Brooklyn way, And she loves to show me off of course, I love it when you call me Big Poppa, I love it when you call me Big Poppa, I love it when you call me Big Poppa, I love it when you call me Big Poppa, I love it when you call me Big Poppa, I love it when you call me Big Poppa, I love it when you call me Big Poppa, I love it when you call me Big Poppa, I love it when you call me Big Poppa, She don't even love me like she did when I was younger (Yo, get a hold of yourself, nigga), And I just love your flashy ways, And I just love your flashy ways (Uh-huh), And I just love your flashy ways, And I just love your flashy ways (Uh-huh), And I just love your flashy ways, And I just love your flashy ways (Uh-huh), And I just love your flashy ways, And I just love your flashy ways, And I just love your flashy ways (Uh-huh), And I just love your flashy ways, Stack mad chips, spread love with my peeps, Thug-ass niggas that love to bust, it's strange to us, 'Cause me and my dogs love to buck shit, Guarantee a million sales, call it love or luck, Yes, love, love your fuckin' attitude, And your moms ain't ugly, love, my dick got rock quick, Because you know I love it young, fresh and green, And I just love your..., I love it when they call me Big Poppa, Slow down, love, please chill, drop the caper, Nah, them my niggas, nah, love, wouldn't disrespect, Mama love you, Uh, the act of making love— (Haa), Love me when I'm broke or when I'm filthy fuckin' rich, (But you know you love that ass, don't you?), And niggas love it, not in the physical form but in the mental, Holler if you need me, love, I'm in the house, Played the cut, nigga comin' off some Love Potion shit, ""What's love got to do..."", Dead up in the hood, ain't no love lost, Because there ain’t no love here, There ain’t no love here, You're bleedin' lovely, with yo' spirit above me, See the fucked up thing is that I love you, It’s just in my nature to love you, And there’s a thin line between love and hate, I'ma make you love me baby, baby34Embed"
1,Tupac,1990s,"Hit ’Em Up, Changes, Keep Ya Head Up, Hail Mary, Dear Mama, California Love, Ambitionz Az a Ridah, All Eyez On Me, Life Goes On, 2 Of Amerikaz Most Wanted, The Rose That Grew From Concrete, Only God Can Judge Me, I Ain’t Mad At Cha, Me Against the World, I Get Around, All About U, Can’t C Me, Do for Love, So Many Tears, Ghetto Gospel, Me and My Girlfriend, Unconditional Love, How Do U Want It, The Rose That Grew From Concrete (Autobiographical), Brenda’s Got a Baby","With my AK, I'm still the thug that you love to hate, I got love for my brother, I'd love to go back to when we played as kids, And if he can't learn to love you, you should leave him, Wants to know why his daddy don't love him no mo', I gave you love, now you eatin' dirt, Lady, don't you know we love ya? (Dear Mama), Sweet lady, don't you know we love ya?, No love for my daddy, 'cause the coward wasn't there, They showed a young brother love, I love payin' rent when the rent is due, Lady, don't you know we love ya? (Dear Mama), Sweet lady, don't you know we love ya?, And all the extra love that you gave me, Lady, don't you know we love ya? (Dear Mama), Sweet lady, don't you know we love ya? (Dear Mama), 216 ContributorsCalifornia Love Lyrics, California love, Cali is where they put their mack down; give me love!, My attitude was ""fuck it,"" 'cause motherfuckers love it, I love them niggas to death, I'm drinkin' Hennessy, I've got nothin' but love for my niggas livin' lavish, Tenacity. We would all love it's will to reach the sun, I can't lie, ain't no love for the other side, That love to hit the late night clubs drink them Buds, Got nothin' but love for ya, do your thing, boy, The question is will I live, no one in the world loves me, What's up, love? How you doin'? (All right), It's a trip, I love the way she licks her lips, see me jockin', Instead you with this weak scrub, lookin' for some love, Nobody loves me, I'm a thug nigga, I love niggas 'cause we comin' from the same place, 98 ContributorsDo for Love Lyrics, You a little sucker for love, Pac!, I hear you callin' me to come back, I'm a sucka for love, What you won’t do, do for love?, What you won’t do, do for love?, 'Cause now I know you’ve been cheatin', I’m a sucka for love, What you won’t do, do for love?, What you won’t do, do for love?, It used to be love, happiness and companionship, I had a love to call my own, But I need your faith in me, I’m a sucka for love, What you won’t do, do for love?, What you won’t do, do for love?, What you won’t do, do for love, What you won’t do, do for love, What you won’t do, (Do for love), What you won’t do, (Do for love), Do for love, yeah baby yeah, Do for love52Embed, Fell in love with the struggle, I'm waitin' by the phone, this is true love, I can feel it, I love finger-fuckin' you, all of a sudden I'm hearin' thunder, Love to watch you at a block party, beggin' for drama, That's why I love you so, no control, down to roll, unleash, Much love to my one and only girlfriend, the world is ours, Never leave a nigga alone, I love you black or chrome, 64 ContributorsUnconditional Love Lyrics, Unconditional love (no doubt), A motherfucker still love you, still feel you, You will always be in my heart with unconditional love, And I ain't worried 'bout a damn thing, with unconditional love, So you will always be in my heart, with unconditional love, So you will always be in my heart, with unconditional love, Sendin' love out to my block, The struggle never stops (unconditional love), So you will always be in my heart, with unconditional love, So you will always be in my heart, with unconditional love, You still came with that unconditional love, So you will always be in my heart, with unconditional love, So you will always be in my heart, with unconditional love17Embed, I love the way you activate your hips and push your ass out, Your body is bangin', baby, I love it when you flaunt it, In love with a molester, who's sexin' her crazy"
2,Eminem,2000s,"Rap God, Killshot, Lose Yourself, Godzilla, The Monster, Lucky You, The Ringer, Stan, Without Me, The Real Slim Shady, Venom, River, Not Alike, Berzerk, Fall, Mockingbird, ’Till I Collapse, 8 Mile: B-Rabbit vs Papa Doc, Love the Way You Lie, Kamikaze, Walk on Water, Bad Guy, Superman, Not Afraid, Cleanin’ Out My Closet","Everybody loves to root for a nuisance, That a death threat or a love letter?, You know I love you1.8KEmbed, Mom, I love you, but this trailer's got, 'Cause the very thing that I love's killin' me and I can't conquer it, I said ain't no love for the other side, It'll help me get back to myself and she'll love me (Ooouuu), I loved you, Slim, we coulda been together—think about it!, Feminist women love Eminem, So this ain't gonna feel like a love tap, Been a lover, been a cheat, 'Cause she loves danger, psychopath, Been a lover, been a cheat, Been a lover, been a cheat, This love triangle left us in a wreck, tangled, Bet I really woulda loved your smile, Been a lover, been a cheat, So if love is a chess game, check mate, And they say that love is powerful as cough syrup in styrofoam, Lainie, Uncle's crazy, ain't he? Yeah, but he loves you, girl, and you better know it, 346 ContributorsTranslationsTürkçeEspañolPortuguêsΕλληνικάEnglishالعربيةLove the Way You Lie Lyrics, Well, that's all right because I love the way you lie, I love the way you lie, High off her love, drunk from her hate, It's like I'm huffin' paint and I love her, the more I suffer, I suffocate, She fuckin' hates me, and I love it — ""Wait!, Well, that's all right because I love the way you lie, I love the way you lie, I love the way you lie, You ever love somebody so much you can barely breathe when you're with 'em?, Well, that's all right because I love the way you lie, I love the way you lie, I love the way you lie, When it comes to love, you're just as blinded, baby, please, All I know is I love you too much to walk away though, Well, that's all right because I love the way you lie, I love the way you lie, I love the way you lie303Embed, To tarnish whatever the legacy, love or respect, Since you're in love with your city so much, I figured, what the fuck, the best place you could be buried alive is right here, I think I love you, baby, I think I love you too (Oh-ooh), I wanna grow together, let's let our love unfurl, Maybe I'll love you one day, Don't get me wrong, I love these hoes, I'd never love you enough to trust you, Maybe I'll love you one day, I think I love you, baby, I think I love you too, I wanna grow together, let's let our love unfurl, Hailie Jade, I love that name, Love that tattoo, what's that say?, Maybe I'll love you one day, I think I love you, baby, I think I love you too, I wanna grow together, let's let our love unfurl"
3,Kendrick Lamar,2010s,"HUMBLE., ​m.A.A.d city, Swimming Pools (Drank), DNA., Money Trees, XXX., Bitch, Don’t Kill My Vibe, King Kunta, Poetic Justice, LOVE., Backseat Freestyle, Alright, Sing About Me, I’m Dying of Thirst, The Blacker the Berry, ELEMENT., LOYALTY., ​i (Album Version), A.D.H.D, FEAR., All the Stars, Wesley’s Theory, Mortal Man, ​u, PRIDE., DUCKWORTH.","I think that I'm feelin' the vibe, I see the love in her eyes, Love one of you bucket headed hoes? No way!, Love one of you bucket headed hoes? No way!, God bless America, you know we all love him, Tell me what you do for love, loyalty, and passion of, I'm tryna keep it alive and not compromise the feelin' we love, I mean, you need to hear this, love is not just a verb, It's you lookin' in the mirror, love is not just a verb, I mean, you need to hear this, love is not just a verb, 312 ContributorsTranslationsEspañolPortuguêsFrançaisLOVE. Lyrics, Damn, love or lust, Sippin' bubbly, feelin’ lovely, livin' lovely, Just love me, Just love me, just love me, just love, Love me, Love me, just love me, If I didn't ride blade on curb, would you still love me?, If I minimized my net worth, would you still love me?, Keep it a hundred, I’d rather you trust me than to love me, If I didn’t ride blade on curb, would you still love me?, If I minimized my net worth, would you still love me?, Keep it a hundred, I'd rather you trust me than to love me, Sippin' bubbly, feelin' lovely, livin' lovely, Just love me, Just love me, just love me, just love, Love me, Love me, just love me, Poppin' your gum on the way love me, I want your blessing today love me, Told you that I'm on the way love me, If I didn't ride blade on curb, would you still love me?, If I minimized my net worth, would you still love me?, Keep it a hundred, I'd rather you trust me than to love me, Sippin' bubbly, feelin' lovely, livin' lovely, Just love me, Just love me, just love me, just love me, Love me, Love me, just love me274Embed, Now tell my momma I love her, but this what I like, Lord knows, And I love you 'cause you love my brother like you did, Know I can tell because you in love with that Desert Eagle, Ain't no other love like the one I know, Is it love for the streets when the lights get dark?, And (I love myself), (I love myself), (I love myself), (I love myself), And (I love myself), (I love myself), (I love myself), (I love myself), You know the miserable do love company, (I love myself), (I love myself), (I love myself), (I love myself), (I love myself) Huh (Fi-fie-fo-fum) Huh (Fi-fie-fo-fum), (I love myself) Huh (My heart undone) one, two, three, And I s— I— And I— And I say this because I love you niggas, man, I love all my niggas, bro, I'm talkin' fear, fear that love ain't livin' here no more, Because He loves you, so that's why we get chastised, I love you, family, and I pray for you, Love, let's talk about love, Love, let's talk about love, Love, let's talk about love, At first, I did love you, At first, I did love you (Love you), Want you to love me like Nelson, want you to hug me like Nelson, How clutch are the people that say they love you?, You wanna love like Nelson, you wanna be like Nelson, That's not Nelson-like—want you to love me like Nelson, But while my loved ones was fighting the continuous war back in the city, Loving you is complicated, loving you is complicated, Loving you is complicated, loving you is complicated, Loving you is complicated, loving you is complicated, Loving you is complicated, loving you is complicated, Loving you is complicated, loving you is complicated, Loving you is complicated, loving you is complicated, Loving you is complicated, loving you is complicated, Loving you is complicated, loving you is complicated, Loving you is complicated, loving you is complicated, Loving you is complicated, loving you is complicated, (Loving you ain't really complicated), (Loving you ain't really complicated), No, you ain't shit, you say you love 'em, I know you don't mean it, Love's gonna get you killed, The better part, the human heart, you love ’em or dissect 'em, I don't love people enough to put my faith in man, The hurt becomes repetition, the love almost lost that"
4,Nas,1990s,"N.Y. State of Mind, Ether, Life’s a Bitch, The World Is Yours, The Message, It Ain’t Hard to Tell, One Love, If I Ruled the World (Imagine That), Represent, Nas Is Like, Halftime, Memory Lane (Sittin’ in da Park), Affirmative Action, One Mic, I Can, Daughters, Cherry Wine, Hate Me Now, EPMD 2, The Don, ​everything, One Time 4 Your Mind, Made You Look, Adam and Eve, The Genesis","You love my style, nigga (Uh, uh, uh, uh), What's sad is I love you 'cause you're my brother, you traded your soul for riches, You a dick-ridin' faggot, you love the attention, Fake thug, no love, you get the slug, CB4 Gusto, There's one life, one love, so there can only be one King, But, uh—a thug changes and love changes, 215 ContributorsTranslationsEspañolPolskiPortuguêsOne Love Lyrics, (One what?) One love!, One love, one love, one love, one love, One love, one love, one love, one love, One love, one love, one love, one love, One love, one love, one love, one love, I even got a mask and gloves to bust slugs, but one love, One love, one love, one love, one love, One love, one love, one love, one love, One love, one love, one love, one love, One love, one love, one love, one love, Keep an eye out for Jake, Shorty Wop, one love, One love, one love, one love, one love, One love, one love, one love, one love, One love, one love, one love, one love, One love, one love, one love, one love, To my man , one love, To my man Herb, one love, To my man , one love, Can't forget my motherfuckin' heart, Big , one love, To , yeah, one love120Embed, I'd free all my sons — I love 'em, love 'em, baby!, I'd free all my sons — I love 'em, love 'em, baby!, You love to hear the story how the thugs live in worry, I'd free all my sons — I love 'em, love 'em, baby!, I love 'em, love 'em, baby!, Black diamonds — I love 'em, love 'em, baby!, I love 'em, love 'em, baby!68Embed, Love committing sins and my friends sell crack, 'Nuff respect to the projects, I'm ghost, one love, Yo! The smoothest killer since Bugsy, bitches love me, So if her husband is a gangster, can't be mad, I'll love him, Love25Embed, She loves art, she ride out with me on my music tour, Yes, as long as her love for the people is deep-rooted and evident, Told him that I love him 'cause I don't even know when I'ma see him next (Nah), I fell in love with all that poetry I mastered that, Love model chocha, mami pop it like she 'pose to, You'll love, and you'll learn, Don't you learn to love your scars and all?, For you'll love, in your heart, Irrefutable facts, merciful, beautiful black beloved brother, Don't you learn to love your scars and all, For you'll love, in your heart, Plus every morning, I go out and love it sort of chilly, Show me love, let me feel how the head is"
5,Dr. Dre,1990s,"Forgot About Dre, Still D.R.E., Nuthin’ But A ‘G’ Thang, The Next Episode, I Need a Doctor, What’s the Difference, Medicine Man, Fuck Wit Dre Day [And Everybody’s Celebratin’] (Eazy-E, Tim Dog & Luke Campbell Diss), Bitches Ain’t Shit (Eazy-E Diss), Deep Water, Xxplosive, Let Me Ride, Fuck You, Darkside/Gone, Deep Cover, The Watcher, The Message, Genocide, Talk About It, Deeez Nuuuts, Kush, Keep Their Heads Ringin’, Talking to My Diary, The Chronic [Intro] (Jerry Heller & Eazy-E Diss), All in a Day’s Work","Still got love for the streets, reppin' 213 (For life), And I still got love for the streets, it's the D.R.E., And I still got love for the streets, it's the D.R.E., And I still got love for the streets, it's the D.R.E., And I still got love for the streets, it's the D.R.E., Still ain't trippin', love to see young blacks get money, And I still got love for the streets, it's the D.R.E., And I still got love for the streets, it's the D.R.E., And I still got love for the streets, it's the D.R.E., South Central out to the West Side, it's California Love, But I love you, dog, I got your motherfuckin' back (Right), just know this shit, Don't nobody love this shit the way I love it, Y'all don't do it for the love, for the love not, Than to be loved for who I'm not, that's word to Doc, B.G., 'cause you lost all your homie's love, (But we don't love them hoes) Bitch, and it's like that, But I'm from Tha Pound and we don't love them hoes, I don't love them tricks (Why?) 'cause a trick's a bitch, I was in love like a motherfucker, lickin' the pearl tongue, Every hood love me, but it started on one coast, Nate ain't never love no ho, But you also don't have any idea how much I love you, I love you so much, I love you so much that I'd do anything, You've got a husband who loves you, You've got a husband who loves you, You've got a husband who loves you, You've got a husband who loves you, (Now do you love your life?), I don't love Eazy, I don't love Jerry, I don't love Ruthless Records, Frankly, I don't love nothin' they got to do with, Get out, get out, I don't love you no more, Goin' up but shit, I feel the love, So many people that I love, they want my time but I got to work (I'm sorry, I'm back to work)"
6,Ice Cube,1990s,"No Vaseline (N.W.A Diss), It Was a Good Day, Gangsta Rap Made Me Do It, Check Yo Self, You Know How We Do It, Hello, The Nigga Ya Love to Hate, You Can Do It, Why We Thugs, Good Cop Bad Cop, Arrest The President, Go to Church, Nobody Wants to Die, Hood Mentality, Smoke Some Weed, Black Korea, Friday, Steady Mobbin’, Ghetto Vet, AmeriKKKa’s Most Wanted, A Bird in the Hand, Ghetto Bird, Wicked, Everythang’s Corrupt, My Summer Vacation","You gets no love and I thought you knew it, You gets no love and I thought you knew it, 71 ContributorsThe Nigga Ya Love to Hate Lyrics, That's from the nigga ya love to hate, Yeah, haha! It’s the nigga you love to hate, It's the nigga you love to hate, Now, who do ya love to hate?, ""Oh my god — brake, it's the nigga ya love to hate"", Yeah come on fool, it’s the nigga you love to hate, Yeah, what up, punk? It’s the nigga you love to hate, Of the nigga you love to hate15Embed, Now all I wanna do is have fun with my loved ones (What?), Extra love for the ones who ain't got no date, Gotta love this thug shit, S-Class in the mud shit, Niggas love to go that fast route (Yeah), Love money, love jail, love that penitentiary mail, Love the way these niggas smell, keep coming back, can't you tell?, Love to see my mama cry, love to see my babies struggle, Love to see my woman juggle nuts cause she got to hustle, And I love her, 'cause she down, I never get love again, Rico Love - Even Kings Die - 3/13, Philthy Rich - Fake Love - 22/22, Powfu - Some Boring, Love Stories - EP - 5/5, EXO - LOVE SHOT - 15/15, TVXQ - New Chapter #2: The Truth of Love - 7/7, Givin' up much love"
7,Snoop Dogg,1990s,"Gin and Juice, Drop It Like It’s Hot, Ain’t No Fun (If the Homies Can’t Have None), Who Am I (What’s My Name)?, Murder Was the Case (Death After Visualizing Eternity), Lodi Dodi, Did Somebody Say, Vato, Tha Shiznit, Beautiful, Doggy Dogg World, That’s That Shit, Bitch Please, California Roll, Down 4 My N’s (Death Row Records Diss), Serial Killa, Peaches N Cream, Gz and Hustlas, Lay Low, Signs, Thug Life, G Funk Intro, Imagine, Step Yo Game Up, Pump Pump","But (But what?) we don't love them hoes, yeah, I don't love you, hoes, I'm out the door, and I'll be..., That I love in the whole wide world, I have no love for hoes, Silly of me to fall in love with a bitch, 'Cause you know I don't love it, I love you so, how much you'll never know, I'll give you all my love today, And I just love your jazzy ways, Doggy Dogg, your love is here to stay"", And with your wrinkled pussy, I can't be your lover"", What could you not love, I make money, and I really don't love hoes, I loved your clothes, what you about, The ladies love me cause I'm a million dolla hitta, And I ain't never had no love for a fake friend, Ain't no bet, but I could never love my wife, Like I love my life I never love ya twice, I fell in love one night still lost in the days in a major way, Ayo, uh, I'm sorry, I just love that nigga, Yo, Snoop, you know, I just love your shit"
8,JAY-Z,2000s,"Holy Grail, Empire State of Mind, Part II (On the Run), The Story of O.J., 4:44, Tom Ford, FuckWithMeYouKnowIGotIt, 99 Problems, Renegade, Oceans, Run This Town, Kill Jay Z, Takeover, Family Feud, Big Pimpin’, Picasso Baby, Public Service Announcement, Song Cry, Smile, Open Letter, ’03 Bonnie & Clyde, Izzo (H.O.V.A.), Bam, Heaven, BBC","Why I love it so much (Thanks for warning me, yeah), Why I love it so much (Thanks for warning me, yeah, yeah), One day, you're screamin' you love me loud, One day, you're screamin' you love me loud, One day, you're screamin' you love me loud, Why I love you so much (Yeah, thanks for warning me), Why our love is so much (Thanks for warning me, yeah), One day, you're screamin' you love me loud, I can make it anywhere, yeah, they love me everywhere, Who wants that perfect love story anyway, anyway?, Who wants that hero love that saves the day, anyway?, An innocent love I'm misunderstood, yeah?, And if loving you is a crime, I hear sirens while we make love, Die for your love, beyond life, She fell in love with the bad guy, the bad guy, And if loving you had a price, I hear sirens while we make love, And I apologize 'cause at your best, you are love, Our love was one for the ages and I contained us, And let love light the way, I suck at love, I think I need a do-over, Well, my glove compartment is locked, so is the trunk in the back, Pray for him, but some fools just love to perform, It's a dangerous love affair (What's up? Come on), Kill JAY-Z, they'll never love you, To all the youth that fell in love with JAY-Z, You got people you love you sold drugs to, Love me like, love, You know I thug 'em, fuck 'em, love 'em, leave 'em, Let's make love on a million, All for the love of drug dealing, uh, Either love me, or leave me alone, Sounds like a love song, Sounds like a love song, Good dude, I know you love me like cooked food, I loved your point of view 'cause you held no punches, I used to cut up they buddies, now they sayin' they love me, Cried tears of joy when you fell in love, Niggas'll love you but hate you 'cause they can't be you, You live in the shadows for fear of someone hurting your family or the person you love, Love who you love, because life isn't guaranteed, I'm in Cuba, I love Cubans, My love and my trust if you was my boyfriend (One more time!), My love and my trust if you was my boyfriend, Don't play by the king, love is all I and I bring you know, Happiness for a gangsta, ain't no love in these streets, And God is my chauffeur, boy they love Hova, You gotta love it, I arrive at the pearly gates"
9,Kanye West,2010s,"Mercy, Monster, Father Stretch My Hands, Pt. 1, Ultralight Beam, Bound 2, New Slaves, Blood On the Leaves, Runaway, Black Skinhead, No More Parties In LA, All Mine, POWER, Famous, Ghost Town, Wolves, Real Friends, I Love Kanye, Gold Digger, Off The Grid, Can’t Tell Me Nothing, Devil In a New Dress, Pt. 2, Gorgeous, FML, Waves","Chi nigga, but these hoes love my accent, Love, I don't get enough of it, Deliver us loving, B-B-B-B-Bound to fall in love, Bound to fall in love, Bound to fall in love (Bound), B-B-B-B-Bound to fall in love (Bound), With nobody to love, nobody, no— (Uh-huh, honey), Bound (Bound to fall in love), Bound (Bound to fall in love), With nobody to love, nobody, nobody, With nobody to love, nobody, nobody, Bound to fall in love, Bound to fall in love, And you were screamin' that you love me, I love rockin' jewelry, a whole neckful, And as far as real friends, tell all my cousins I love 'em, Make her mine, I done fell in love, I love your titties 'cause they prove, Kinda hard to love a girl like me, I've loved you better than your own kin did, I loved you better than your own kin did, I've been tryin' to make you love me, I've been tryin' to make you love me, Love you (Got to), Love you (Love you), 'Fore she met Joseph with no love?"", 135 ContributorsTranslationsРусскийTürkçeEspañolSiSwatiPolskiSvenskaI Love Kanye Lyrics, I used to love Kanye, I used to love Kanye, That's all it was Kanye, we still love Kanye, And I love you like Kanye loves KanyeYou might also like79Embed, I don't care what none of y'all say, I still love her, She fell in love with my day to day (Uh), And she fell in love with me soon as she met me, I love it, though, I love it, though, huh, you know?, We love Jesus, but you done learned a lot from Satan, How she gon' wake up and not love me no more?, We love Jesus, but she done learned a lot from Satan, You see, I always loved that sense of humor, You love me for me, could you be more phony?, I'm makin' love to the angel of death, All them fallin' for the love of ballin', I will die for those I love, Don't stop your loving, They don't wanna see me love you, They always love it, They don't wanna see me love you, They don't wanna see me love you, They don't wanna see me love you"
