Rap Name,Rap Like,Era
The Notorious B.I.G.,"251,394 votes"
Tupac,"301,383 votes"
Eminem,"371,057 votes"
Kendrick Lamar,"233,050 votes"
Nas,"203,041 votes"
Dr. Dre,"180,231 votes"
Ice Cube,"183,978 votes"
Snoop Dogg,"188,011 votes"
JAY-Z,"192,703 votes"
Kanye West,"185,337 votes"
J. Cole,"157,354 votes"
Lil Wayne,"147,237 votes"
André 3000,"131,906 votes"
50 Cent,"142,501 votes"
Eazy-E,"132,893 votes"
Drake,"127,401 votes"
DMX,"100,512 votes"
A$AP Rocky,"84,652 votes"
MF Doom,"33,159 votes"
Childish Gambino,"74,899 votes"
Kid Cudi,"69,130 votes"
"Tyler, the Creator","59,669 votes"
Busta Rhymes,"88,234 votes"
Travis Scott,"69,257 votes"
XXXTentacion,"80,923 votes"
Ghostface Killah,"63,278 votes"
Chance the Rapper,"75,684 votes"
Juice Wrld,"30,639 votes"
Logic,"87,101 votes"
Nate Dogg,"57,050 votes"
Wiz Khalifa,"64,243 votes"
Future,"34,645 votes"
Joey Bada$$,"42,994 votes"
Method Man,"76,763 votes"
Mac Miller,"37,206 votes"
Big Sean,"19,873 votes"
Lil Uzi Vert,"58,246 votes"
The Game,"39,177 votes"
21 Savage,"54,845 votes"
Tech N9ne,"29,482 votes"
Meek Mill,"34,749 votes"
Joyner Lucas,"53,900 votes"
Schoolboy Q,"31,068 votes"
2 Chainz,"35,231 votes"
Nelly,"36,182 votes"
Gucci Mane,"36,827 votes"
Rakim,"36,118 votes"
Ski Mask The Slump God,"31,621 votes"
Ludacris,"23,696 votes"
Chief Keef,"103,419 votes"
Ice-T,"15,376 votes"
T.I.,"74,335 votes"
Missy Elliott,"16,643 votes"
Warren G,"31,727 votes"
Redman,"61,503 votes"
LL Cool J,"29,907 votes"
DMC,"26,553 votes"
A$AP Ferg,"43,802 votes"
Big L,"61,009 votes"
Ol' Dirty Bastard,"20,742 votes"
RZA,"21,515 votes"
Rick Ross,"51,444 votes"
Twista,"34,152 votes"
Big Pun,"28,002 votes"
Raekwon,"24,683 votes"
J.I.D,"23,725 votes"
Xzibit,"44,070 votes"
Scarface,"33,305 votes"
Lil Dicky,"5,383 votes"
Will Smith,"26,314 votes"
Mos Def,"34,456 votes"
Hopsin,"27,285 votes"
Big Boi,"32,577 votes"
G-Eazy,"61,228 votes"
Slick Rick,"29,938 votes"
GZA,"22,168 votes"
Q-Tip,"23,304 votes"
Prodigy,"35,486 votes"
Post Malone,"26,074 votes"
Young Thug,"24,176 votes"
NF,"17,992 votes"
Lil Baby,"13,537 votes"
T-Pain,"15,293 votes"
Coolio,"14,119 votes"
Polo G,"9,695 votes"
MC Ren,"9,646 votes"
Lupe Fiasco,"17,836 votes"
Quavo,"9,582 votes"
Common,"17,586 votes"
E-40,"31,916 votes"
Fat Joe,"19,617 votes"
Roddy Ricch,"47,404 votes"
DaBaby,"20,355 votes"
YG,"14,664 votes"
Grandmaster Flash,"7,459 votes"
KRS-One,"10,139 votes"
Big Daddy Kane,"16,006 votes"
Pharrell Williams,"15,556 votes"
Juicy J,"50,620 votes"
Kurupt,"28,500 votes"
Vince Staples,"16,261 votes"
Nicki Minaj,"19,098 votes"
A Boogie wit da Hoodie,"10,280 votes"
Playboi Carti,"4,784 votes"
NLE Choppa,"5,818 votes"
N.W.A,""
Public Enemy,""
Kurtis Blow, ""
De La Soul, ""
Chuck D, ""
Doja Cat, ""
Jack Harlow, ""
lil nas x, ""
lil Durk, ""
Baby Keem, ""
JPEGMAFIA, ""
Death Grips, ""
BROCKHAMPTON, ""
JID,""
Denzel Curry, ""
Isaiah Rashad, ""
