Rap Name,Era,Songs,Lyrics
The Notorious B.I.G.,1990s,"['Juicy', 'Big Poppa', 'Suicidal Thoughts']","['368 ContributorsTranslationsPortuguêsFrançaisРусскийJuicy Lyrics\n(""Fuck all you hoes!"" Get a grip, motherfucker!)\nYeah, this album is dedicated\nTo all the teachers that told me I\'d never amount to nothin\'\nTo all the people that lived above the buildings that I was hustlin\' in front of\nCalled the police on me when I was just tryin\' to make some money to feed my daughter (it\'s all good)\nAnd all the niggas in the struggle\nYou know what I\'m sayin\'? It\'s all good, baby baby\nIt was all a dream, I used to read Word Up! magazine\nSalt-n-Pepa and Heavy D up in the limousine\nHangin\' pictures on my wall\nEvery Saturday Rap Attack, Mr. Magic, Marley Marl\nI let my tape rock \'til my tape popped\nSmokin\' weed in Bambú, sippin\' on Private Stock\nWay back, when I had the red and black lumberjack\nWith the hat to match\nRemember Rappin\' Duke? Duh-ha, duh-ha\nYou never thought that hip-hop would take it this far\nNow I\'m in the limelight \'cause I rhyme tight\nTime to get paid, blow up like the World Trade\nBorn sinner, the opposite of a winner\nRemember when I used to eat sardines for dinner\nPeace to Ron G, Brucie B, Kid Capri\nFunkmaster Flex, Lovebug Starski\nI\'m blowin\' up like you thought I would\nCall the crib, same number, same hood, it\'s all good\nAnd if you don\'t know, now you know, nigga\nYou might also like\nYou know very well (Yeah)\nWho you are (Money, hoes and clothes)\nDon\'t let \'em hold you down (Bankrolls, yeah, haha)\nReach for the stars (It\'s all good)\nYou had a goal (C\'mon)\nBut not that many (It\'s all good)\n\'Cause you\'re the only one\nI\'ll give you good and plenty (Check it)\n\nI made the change from a common thief\nTo up close and personal with Robin Leach\nAnd I\'m far from cheap, I smoke skunk with my peeps all day\nSpread love, it\'s the Brooklyn way\nThe Moët and Alizé keep me pissy, girls used to diss me\nNow they write letters \'cause they miss me\nI never thought it could happen, this rapping stuff\nI was too used to packing gats and stuff\nNow honeys play me close like butter play toast\nFrom the Mississippi down to the East Coast\nCondos in Queens, indo for weeks\nSold out seats to hear Biggie Smalls speak\nLiving life without fear\nPuttin\' five karats in my baby girl ear\nLunches, brunches, interviews by the pool\nConsidered a fool \'cause I dropped out of high school\nStereotypes of a black male misunderstood\nAnd it\'s still all good\nAnd if you don\'t know, now you know, nigga\nYou know very well (C\'mon)\nWho you are (Bankrolls)\nDon\'t let \'em hold you down (Clothes)\nReach for the stars (Mansions)\nYou had a goal\nBut not that many (It\'s all good)\n\'Cause you\'re the only one\nI\'ll give you good and plenty (\'94)\n\nSuper Nintendo, Sega Genesis\nWhen I was dead broke, man, I couldn\'t picture this\n50-inch screen, money-green leather sofa\nGot two rides, a limousine with a chauffeur\nPhone bill about two G\'s flat\nNo need to worry, my accountant handles that\nAnd my whole crew is loungin\'\nCelebrating every day, no more public housin\'\nThinkin\' back on my one-room shack\nNow my mom pimps an Ac\' with minks on her back\nAnd she loves to show me off of course\nSmiles every time my face is up in The Source\nWe used to fuss when the landlord dissed us\nNo heat, wonder why Christmas missed us\nBirthdays was the worst days\nNow we sip Champagne when we thirsty\nUh, damn right I like the life I live\n\'Cause I went from negative to positive and it\'s all (It\'s all good, nigga)\nAnd if you don\'t know, now you know, nigga\nYou know very well (Money)\nWho you are (Hoes and clothes)\nDon\'t let \'em hold you down (Bankrolls)\nAnd if you don\'t know, now you know, nigga\nReach for the stars (That\'s right)\nYou had a goal (It\'s all good)\nBut not that many (All good)\n\'Cause you\'re the only one (East coast, represent)\nI\'ll give you good and plenty (C\'mon)\nAnd if you don\'t know, now you know, nigga\n\nRepresentin\' B-Town in the house (Biggie Smalls)\nJunior Mafia, mad flavor (Bad Boy)\nUh, uh, yeah, aight (I see you, Cooch)\n\nYou know very well\nWho you are\nDon\'t let \'em hold you down\nReach for the stars\nYou had a goal\nBut not that many\n\'Cause you\'re the only one\nI\'ll give you good and plenty\n\nBiggie Smalls, it\'s all good, nigga\nJunior Mafia, it\'s all good, nigga\nBad Boy, it\'s all good, nigga\nIt\'s all good\nThat\'s right, \'94\nAnd on and on, and on and on\nYou know very well\nIt\'s all good\nWho you are\nYeah\nDon\'t let \'em hold you down\nReach for the stars\n390Embed', '211 ContributorsTranslationsEnglishEnglishEnglishBig Poppa Lyrics\nUh, uh, check it out (Yeah), uh\nJunior M.A.F.I.A., uh (He-he)\nUh (I like this) yeah, yeah\nNine-fo\' (Keep bangin\')\n\nTo all the ladies in the place with style and grace\nAllow me to lace these lyrical douches in your bushes (Uh)\nWho rock grooves and make moves with all the mamis?\nThe back of the club, sippin\' Moët is where you\'ll find me (What?)\nThe back of the club, mackin\' hoes, my crew\'s behind me (Uh)\nMad question askin\', blunt passin\'\nMusic blastin\', but I just can\'t quit\nBecause one of these honeys Biggie got to creep with (That\'s right)\nSleep with, keep the ep a secret, why not? (Uh)\nWhy blow up my spot \'cause we both got hot?\nNow check it: I got more mack than Craig, and in the bed\nBelieve me, sweetie, I got enough to feed the needy (Come on)\nNo need to be greedy, I got mad friends with Benzes\nC-notes by the layers, true fuckin\' players (Uh)\nJump in the Rover and come over, tell your friends jump in the GS3\nI got the chronic by the tree cuz (Let\'s go)\n\nI love it when you call me Big Poppa\nThrow your hands in the air if you\'s a true player\nI love it when you call me Big Poppa\nTo the honeys gettin\' money, playin\' niggas like dummies\nI love it when you call me Big Poppa\nYou got a gun up in your waist, please don\'t shoot up the place (Why?)\n\'Cause I see some ladies tonight that should be havin\' my baby (Uh), baby (Uh)\nYou might also like\nStraight up, honey, really I\'m askin\'\nMost of these niggas think they be mackin\', but they be actin\'\nWho they attractin\' with that line (What?), ""What\'s your name? What\'s your sign?""\nSoon as he buy that wine, I just creep up from behind (That\'s right)\nAnd ask you what your interests are, who you be with\nThings that make you smile, what numbers to dial\nYou gon\' be here for a while? I\'m gon\' go call my crew, you go call your crew\nWe can rendezvous at the bar around 2 (Come on)\nPlans to leave, throw the keys to Little Cease (Uh-huh)\nPull the truck up front, and roll up the next blunt\nSo we can steam on the way to the telly, go fill my belly (G)\nA T-bone steak, cheese eggs and Welch\'s grape\nConversate for a few, ‘cause in a few we gon\' do\nWhat we came to do, ain\'t that right, boo? (True)\nForget the telly—we just go to the crib\nAnd watch a movie in the jacuzzi, smoke Ls while you do me\n\nI love it when you call me Big Poppa\nThrow your hands in the air if you\'s a true player (Come on, yeah)\nI love it when you call me Big Poppa\nTo the honeys gettin\' money, playin\' niggas like dummies (Uh)\nI love it when you call me Big Poppa\nYou got a gun up in your waist, please don\'t shoot up the place (Why?)\n\'Cause I see some ladies tonight that should be havin\' my baby, baby (Uh)\n(How you livin\', Biggie Smalls?) In mansion and Benzes\nGivin\' ends to my friends, and it feels stupendous\nTremendous cream: fuck a dollar and a dream (Heh)\nStill tote gats, strapped with infrared beams (That\'s right) (What?)\nChoppin\' Os (Uh-huh), smokin\' la in Optimos\nMoney, hoes and clothes: all a nigga knows (All a nigga knows)\nA foolish pleasure? Whatever\nI had to find the buried treasure (For what?), so grams I had to measure\nHowever, livin\' better now, Coogi sweater now\nDrop top BMs, I\'m the man, girlfriend\n\nYeah, honey, check it\nTell your friends to get with my friends\nAnd we can be friends\nShit, we can do this every weekend (That\'s right), alright?\nIs that aight wit\' you?\nYeah, keep bangin\'\n\nI love it when you call me Big Poppa\nThrow your hands in the air if you\'s a true player\nI love it when you call me Big Poppa\nTo the honeys gettin\' money, playin\' niggas like dummies (Uh)\nI love it when you call me Big Poppa\nYou got a gun up in your waist, please don\'t shoot up the place (Why?)\n\'Cause I see some ladies tonight that should be havin\' my baby, baby (Uh)\nCheck it out\nNine-fo\' shit for that ass, uh\nPuff Daddy, Biggie Smalls, Junior M.A.F.I.A.\nRepresent, baby, baby, uh187Embed', ""177 ContributorsTranslationsTürkçeDeutschSuicidal Thoughts Lyrics\nHello?\nAw shit, nigga! The fuck time is it, man?\nOh, God damn\nNigga, do you know what time it is?\nAw shit, what the fuck's goin' on?\nYou aight?\nAh, nigga, what the fuck is wrong with you?\n\nWhen I die, fuck it, I wanna go to hell\n'Cause I'm a piece of shit, it ain't hard to fuckin' tell (What you talkin' 'bout, man?)\nIt don't make sense, goin' to heaven with the goodie-goodies\nDressed in white, I like black Timbs and black hoodies (Aw, man)\nGod'll probably have me on some real strict shit\nNo sleepin' all day, no gettin' my dick licked\nHangin' with the goodie-goodies, loungin' in paradise\nFuck that shit, I wanna tote guns and shoot dice (You talkin' some crazy shit now, nigga)\nAll my life I been considered as the worst\nLyin' to my mother, even stealin' out her purse (Ah)\nCrime after crime, from drugs to extortion\nI know my mother wish she got a fuckin' abortion\nShe don't even love me like she did when I was younger (Yo, get a hold of yourself, nigga)\nSuckin' on her chest just to stop my fuckin' hunger\nI wonder; if I died, would tears come to her eyes?\nForgive me for my disrespect, forgive me for my lies (You're buggin', B)\nMy baby mother's eight months, her little sister's two\nWho's to blame for both of them? (Nah, nigga, not you)\nI swear to God I want to just slit my wrists and end this bullshit\nThrow the Magnum to my head, threaten to pull shit (Nigga, what the fuck?)\nAnd squeeze until the bed's completely red (It's too late for this shit, man)\nI'm glad I'm dead, a worthless fuckin' buddha head\nThe stress is buildin' up, I can't— I can't believe (Ayo, I'm on my way over there, man)\nSuicide's on my fuckin' mind, I wanna leave\nI swear to God I feel like death is fuckin' callin' me\nBut nah, you wouldn't understand\nNigga, talk to me please, man!\nYou see, it's kinda like the crack did to Pookie in New Jack\nExcept when I cross over, there ain't no comin' back (Ayo, ayo, man, I'm out)\nShould I die on the train track like Ramo in Beat Street? (I'ma call you when I get in the car)\nPeople at the funeral frontin' like they miss me (Ayo, where your girl at, man?)\nMy baby mama kiss me, but she glad I'm gone (Yo, put your girl on the phone, nigga!)\nShe know me and her sister had somethin' goin' on\nI reach my peak, I can't speak (Ayo, you listenin' to me, motherfucker?)\nCall my nigga Chic, tell him that my will is weak (Ayo, c'mon, nigga)\nI'm sick of niggas lyin' (Cut that), I'm sick of bitches hawkin' (Ayo)\nMatter of fact, I'm sick of talkin' (Nigga, yo, yo, Big! Ayo, chill!)\n*Gunshot*\nAyo, Big! Ayo, Big!\nYou might also like\nPlease hang up and try your call again\nPlease hang up— Is a recording252Embed""]"
Tupac,1990s,"['Hit ’Em Up', 'Changes', 'Keep Ya Head Up']","[""456 ContributorsTranslationsFrançaisAzərbaycanca / آذربايجانHit ’Em Up Lyrics\n(Sucka-ass)\nI ain't got no mothafuckin' friends\nThat's why I fucked yo' bitch, you fat mothafucka!\n(Take money) West Side, Bad Boy killas\n(Take money) (You know) You know who the realest is\n(Take money) Niggas, we bring it too\nThat's a'ight, haha\n(Take money) Haha\nFirst off, fuck yo' bitch and the clique you claim\nWestside when we ride, come equipped with game\nYou claim to be a player, but I fucked your wife\nWe bust on Bad Boys, niggas fucked for life\nPlus, Puffy tryna see me, weak hearts I rip\nBiggie Smalls and Junior M.A.F.I.A., some mark-ass bitches\nWe keep on comin' while we runnin' for your jewels\nSteady gunnin', keep on bustin' at them fools, you know the rules\nLil' Caesar, go ask your homie how I'll leave ya\nCut your young-ass up, leave you in pieces, now be deceased\nLil' Kim, don't fuck around with real G's\nQuick to snatch yo' ugly ass off the streets, so fuck peace!\nI'll let them niggas know it's on for life\nDon't let the Westside ride tonight (Hahaha)\nBad Boy murdered on wax and killed\nFuck with me and get yo' caps peeled, you know\nYou might also like\nSee, grab your Glocks when you see 2Pac\nCall the cops when you see 2Pac, uh\nWho shot me? But you punks didn't finish\nNow you 'bout to feel the wrath of a menace\nNigga, I hit 'em up! (Yeah)\n\nCheck this out (Take money)\nYou motherfuckers know what time it is\nI don't even know why I'm on this track (Take money)\nY'all niggas ain't even on my level\nI'ma let my lil' homies ride on you bitch-made ass (Take money)\nBad Ay ay ayo hold the fuck up\nBoy bitches, feel it! (Take money)\nGet out the way yo, get out the way yo\nBiggie Smalls just got dropped\nLittle Mu', pass the MAC and let me hit him in his back\nFrank White needs to get spanked right for settin' traps\nLittle accident murderer, and I ain't never heard of ya\nPoisonous gats attack when I'm servin' ya\nSpank ya, shank ya whole style when I gank\nGuard your rank 'cause I'ma slam your ass in the paint\nPuffy weaker than the fuckin' block I'm runnin' through, nigga\nAnd I'm smokin' Junior M.A.F.I.A. in front of you, nigga\nWith the ready power tucked in my Guess under my Eddie Bauer\nYour clout petty/sour, I push packages every hour; I hit 'em up!\nGrab your Glocks when you see 2Pac\nCall the cops when you see 2Pac, uh\nWho shot me? But you punks didn't finish\nNow you 'bout to feel the wrath of a menace\nNigga, we hit 'em up!\n\nPeep how we do it, keep it real as penitentiary steel\nThis ain't no freestyle battle\nAll you niggas gettin' killed with your mouths open\nTryna come up off of me, you in the clouds hopin'\nSmokin' dope, it's like a sherm high\nNiggas think they learned to fly\nBut they burn, mothafucka, you deserve to die\nTalkin' about you gettin' money, but it's funny to me\nAll you niggas livin' bummy while you fuckin' with me\nI'm a self-made millionaire\nThug livin', out of prison, pistols in the air (Haha)\nBiggie, remember when I used to let you sleep on the couch\nAnd beg a bitch to let you sleep in the house?\nNow it's all about Versace, you copied my style\nFive shots couldn't drop me, I took it and smiled\nNow I'm back to set the record straight\nWith my AK, I'm still the thug that you love to hate\nMothafucka, I hit 'em up!\nI'm from N-E-W Jers' where plenty of murders occurs\nNo points or commas, we bring the drama to all you herbs\nNow go check the scenario: Little Cease\nI'll bring you fake G's to your knees, coppin' pleas in de Janeiro\nLittle Kim, is you coked up or doped up?\nGet your little Junior Whopper click smoked up\nWhat the fuck, is you stupid?\nI take money, crash and mash through Brooklyn\nWith my click lootin', shootin' and pollutin' your block\nWith a 15-shot cocked Glock to your knot\nOutlaw MAFIA clique movin' up another notch\nAnd your pop stars popped and get mopped and dropped\nAll your fake-ass East Coast props brainstormed and locked\n\nYou's a beat biter, a Pac style taker\nI'll tell you to your face, you ain't shit but a faker\nSofter than Alizé with a chaser\n'Bout to get murdered for the paper\nE.D.I. Mean approach the scene of the caper\nLike a loc, with Little Ceas' in a choke\nGun totin' smoke, we ain't no motherfuckin' joke\nThug Life, niggas better be knowin'\nWe approachin' in the wide open, gun smokin'\nNo need for hopin', it's a battle lost\nI got 'em crossed as soon as the funk is boppin' off\nNigga, I hit 'em up!\n\nNow you tell me who won\nI see them, they run, hahahaha\nThey don't wanna see us (Take money)\nWhole Junior M.A.F.I.A. clique dressin' up tryna be us (Take money)\nHow the fuck they gonna be the mob\nWhen we always on our job? (Take money)\nWe millionaires\nKillin' ain't fair, but somebody gotta do it (Take money)\nOh yeah, Mobb Deep, huh, you wanna fuck with us? (Take money)\nYou little young-ass mothafuckas (Take money)\nDon't one of you niggas got sickle-cell or somethin'? (Take money)\nYou're fuckin' with me, nigga\nYou fuck around and have a seizure or a heart attack (Take money)\nYou better back the fuck up\nBefore you get smacked the fuck up\nThis is how we do it on our side\nAny of you niggas from New York that wanna bring it, bring it!\nBut we ain't singin', we bringin' drama\nFuck you and yo' motherfuckin' mama!\nWe gon' kill all you motherfuckers!\nNow, when I came out, I told you it was just about Biggie\nThen everybody had to open their mouth with a motherfuckin' opinion\nWell, this is how we gonna do this: Fuck Mobb Deep! Fuck Biggie!\nFuck Bad Boy as a staff, record label, and as a motherfuckin' crew!\nAnd if you wanna be down with Bad Boy, then fuck you too!\nChino XL, fuck you too!\nAll you motherfuckers, fuck you too!\n(Take money, take money)\nAll of y'all motherfuckers, fuck you, die slow!\nMotherfucker, my .44 make sho' all y'all kids don't grow!\nYou motherfuckers can't be us or see us\nWe motherfuckin' Thug Life ridas\nWestside 'til we die!\nOut here in California, nigga, we warned ya\nWe'll bomb on you motherfuckers! We do our job!\nYou think you mob? Nigga, we the motherfuckin' mob!\nAin't nothin' but killas\nAnd the real niggas, all you motherfuckers feel us\nOur shit goes triple and 4-quadruple (Take money)\nYou niggas laugh 'cause our staff got guns under they motherfuckas belts\nYou know how it is: when we drop records, they felt\nYou niggas can't feel it, we the realest\nFuck 'em, we Bad Boy killas!459Embed"", '318 ContributorsChanges Lyrics\nOoh, yeah (Ooh)\n(Come on, come on)\n\nI see no changes, wake up in the morning and I ask myself\nIs life worth livin\'? Should I blast myself?\nI\'m tired of bein\' poor and, even worse, I\'m black\nMy stomach hurts so I\'m lookin\' for a purse to snatch\nCops give a damn about a negro\nPull the trigger, kill a nigga, he\'s a hero\n""Give the crack to the kids, who the hell cares?\nOne less hungry mouth on the welfare""\nFirst ship \'em dope and let \'em deal to brothers\nGive \'em guns, step back, watch \'em kill each other\n""It\'s time to fight back,"" that\'s what Huey said\nTwo shots in the dark, now Huey\'s dead\nI got love for my brother\nBut we can never go nowhere unless we share with each other\nWe gotta start makin\' changes\nLearn to see me as a brother instead of two distant strangers\nAnd that\'s how it\'s supposed to be\nHow can the Devil take a brother if he\'s close to me? Uh\nI\'d love to go back to when we played as kids\nBut things change, and that\'s the way it is\nYou might also like\n(Come on, come on)\nThat\'s just the way it is (Changes)\nThings\'ll never be the same\nThat\'s just the way it is (That\'s the way it is, what?)\nAww, yeah-yeah (Hear me)\n(Oh my, oh my, come on, come on)\nThat\'s just the way it is (That\'s just the way it is, the way it is)\nThings\'ll never be the same\n(Never be the same, yeah, yeah, yeah, aww, yeah)\nThat\'s just the way it is (Way it is)\nAww, yeah (Come on, come on)\nI see no changes, all I see is racist faces\nMisplaced hate makes disgrace to races\nWe under, I wonder what it takes to make this\nOne better place, let\'s erase the wasted\nTake the evil out the people, they\'ll be actin\' right\n\'Cause both black and white are smokin\' crack tonight\nAnd the only time we chill is when we kill each other (Kill each other)\nIt takes skill to be real, time to heal each other\nAnd although it seems heaven-sent\nWe ain\'t ready to see a black president, uh (Oh-ooh)\nIt ain\'t a secret, don\'t conceal the fact\nThe penitentiary\'s packed and it\'s filled with blacks\nBut some things will never change (Never change)\nTry to show another way, but you stayin\' in the dope game (Ooh)\nNow tell me, what\'s a mother to do?\nBein\' real don\'t appeal to the brother in you (Yeah)\nYou gotta operate the easy way\n""I made a G today,"" but you made it in a sleazy way\nSellin\' crack to the kids (Oh-oh), ""I gotta get paid"" (Oh)\nWell hey, well that\'s the way it is\n(Come on, come on)\nThat\'s just the way it is (Changes)\nThings\'ll never be the same\nThat\'s just the way it is (That\'s the way it is, what?)\nAww, yeah (Hear me)\n(Oh my, oh my, come on, come on)\nThat\'s just the way it is (That\'s just the way it is, the way it is)\nThings\'ll never be the same\n(Never be the same, yeah, yeah, yeah, aww, yeah)\nThat\'s just the way it is (Way it is)\nAww, yeah (Aww, yeah, aww, yeah)\n\nWe gotta make a change\nIt\'s time for us as a people to start makin\' some changes\nLet\'s change the way we eat\nLet\'s change the way we live\nAnd let\'s change the way we treat each other\nYou see, the old way wasn\'t workin\'\nSo it\'s on us to do what we gotta do to survive\n\nAnd still I see no changes, can\'t a brother get a little peace?\nIt\'s war on the streets and the war in the Middle East (Ooh, yeah)\nInstead of war on poverty\nThey got a war on drugs so the police can bother me\nAnd I ain\'t never did a crime I ain\'t have to do\nBut now I\'m back with the facts, givin\' it back to you (Ooh)\nDon\'t let \'em jack you up, back you up\nCrack you up and pimp-smack you up\nYou gotta learn to hold your own\nThey get jealous when they see you with your mobile phone\nBut tell the cops they can\'t touch this\nI don\'t trust this, when they try to rush, I bust this\nThat\'s the sound of my tool, you say it ain\'t cool\nMy mama didn\'t raise no fool (Oh)\nAnd as long as I stay black, I gotta stay strapped\nAnd I never get to lay back\n\'Cause I always got to worry \'bout the payback\nSome buck that I roughed up way back\nComin\' back after all these years\n""Rat-a-tat-tat-tat-tat,"" that\'s the way it is\n(Uh)\nThat\'s just the way it is (Just the way it is, yeah, yeah, yeah)\nThings\'ll never be the same (Yeah)\nThat\'s just the way it is (The way it is)\nAww, yeah (Some things will never change, oh my)\n(I\'m tryna make a change)\n(You\'re my brother, you\'re my sister, yeah)\nThat\'s just the way it is (The way it is, the way it is)\nThings\'ll never be the same (You\'re my brother, you\'re my sister)\nThat\'s just the way it is, aww, yeah\nSome things\'ll never change345Embed', ""251 ContributorsKeep Ya Head Up Lyrics\nLittle something for my godson Elijah\nAnd a little girl named Corin\nSome say the blacker the berry, the sweeter the juice\nI say the darker the flesh, then the deeper the roots (Oh)\nI give a holla to my sisters on welfare\n2Pac cares if don't nobody else care (Oh)\nAnd, uh, I know they like to beat you down a lot\nWhen you come around the block, brothers clown a lot\nBut please don't cry, dry your eyes, never let up\nForgive, but don't forget, girl, keep ya head up\nAnd when he tells you you ain't nothin', don't believe him\nAnd if he can't learn to love you, you should leave him\n'Cause, sister, you don't need him\nAnd I ain't tryin' to gas you up, I just call 'em how I see 'em (You don't need him)\nYou know what makes me unhappy? (What's that?)\nWhen brothers make babies\nAnd leave a young mother to be a pappy (Oh, yeah, yeah, yeah)\nAnd since we all came from a woman\nGot our name from a woman and our game from a woman (Yeah, yeah)\nI wonder why we take from our women\nWhy we rape our women, do we hate our women?\n(Why? Why? Why? Why? Why? Why?)\nI think it's time to kill for our women\nTime to heal our women, be real to our women\nAnd if we don't, we'll have a race of babies\nThat will hate the ladies that make the babies (Oh, yeah-yeah)\nAnd since a man can't make one\nHe has no right to tell a woman when and where to create one\nSo will the real men get up?\nI know you're fed up, ladies, but keep ya head up\nYou might also like\n(Keep ya head up)\nOoh, child, things are gonna get easier\n(Keep-keep ya head up)\nOoh, child, things'll get brighter\n(Oh-oh, keep ya head up)\nOoh, child, things are gonna get easier\n(Keep-keep ya head up)\nOoh, child, things'll get brighter\n\nAyo, I remember Marvin Gaye used to sing to me\nHe had me feelin' like black was the thing to be\nAnd suddenly the ghetto didn't seem so tough\nAnd though we had it rough, we always had enough\nI huffed and puffed about my curfew and broke the rules\nRan with the local crew and had a smoke or two\nI realize Mama really paid the price\nShe nearly gave her life to raise me right (Oh, yeah-yeah)\nAnd all I had to give her was my pipe dream\nOf how I'd rock the mic and make it to the bright screen\nI'm tryin' to make a dollar out of fifteen cents\nIt's hard to be legit and still pay your rent\nAnd in the end, it seems I'm headin' for the pen'\nI try to find my friends, but they're blowin' in the wind\nLast night, my buddy lost his whole family\nIt's gonna take the man in me to conquer this insanity (Oh, no, no, no)\nIt seems the rain'll never let up\nI try to keep my head up and still keep from gettin' wet up, huh\nYou know, it's funny, when it rains it pours\nThey got money for wars, but can't feed the poor\nSaid it ain't no hope for the youth\nAnd the truth is it ain't no hope for the future\nAnd then they wonder why we crazy, huh\nI blame my mother for turnin' my brother into a crack baby\nWe ain't meant to survive 'cause it's a set-up\nAnd even though you're fed up, huh, you got to keep ya head up\n(Keep ya head up)\nOoh, child, things are gonna get easier\n(Keep-keep ya head up)\nOoh, child, things'll get brighter\n(Oh-oh, keep ya head up)\nOoh, child, things are gonna get easier\n(Keep-keep ya head up)\nOoh, child, things'll get brighter\n\nAnd, uh, to all the ladies havin' babies on they own\nI know it's kinda rough and you're feelin' all alone\nDaddy's long gone and he left you by your lonesome\nThank the Lord for my kids even if nobody else want 'em\n'Cause I think we can make it, in fact, I'm sure\nAnd if you fall, stand tall and come back for more (Oh-oh)\n'Cause ain't nothin' worse than when your son\nWants to know why his daddy don't love him no mo'\nYou can't complain, you was dealt this hell of a hand\nWithout a man, feelin' helpless (I know you were)\nBecause there's too many things for you to deal with\nDyin' inside, but outside you're lookin' fearless\nWhile the tears is rollin' down your cheeks\nYou're steady hopin' things don't all fall this week (Yeah)\n'Cause if it did, you couldn't take it (Yeah)\nAnd don't blame me, I was given this world, I didn't make it (Oh, yeah)\nAnd now my son's gettin' older and older\nAnd cold from havin' the world on his shoulders\nWhile the rich kids is drivin' Benz\nI'm still tryin' to hold on to survivin' friends (Oh, yeah)\nAnd it's crazy, it seems it'll never let up\nBut, huh, please, you got to keep your head up206Embed""]"
Eminem,2000s,,
Kendrick Lamar,2010s,,
Nas,1990s,,
Dr. Dre,1990s,,
Ice Cube,1990s,,
Snoop Dogg,1990s,,
JAY-Z,2000s,,
Kanye West,2010s,,
