,Artist Name,the,i,you,a,and,to,my,it,me,in,im,on,that,like,with,up,your,of,yeah,got,we,get,dont,for,is,all,know,be,they,this,but,nigga,just,so,what,no,out,its,aint,when,shit,she,niggas,fuck,now,if,was,do,bitch,go,see,back,cause,love,at,down,can,from,her,one,thats,make,as,he,em,never,cant,man,some,might,wanna,want,then,time,say,come,not,how,right,off,uh,them,take,these,let,need,been,or,oh,keep,money,who,about,baby,tell,also,way,yo,lyrics,give,life,put,gon,have,here,still,more,where,his,ass,feel,youre,said,think,had,look,gotta,are,why,hit,real,yall,new,ya,bitches,ill,him,even,girl,too,by,ima,better,big,ayy,call,through,us,good,god,could,every,fuckin,day,than,around,really,an,bout,two,tryna,black,only,night,bad,run,will,hey,boy,ooh,high,head,well,mind,little,lets,over,hard,stop,huh,made,leave,told,there,world,wont,show,whats,gettin,damn,gonna,hoes,did,low,long,stay,check,ever,rap,woo,talk,before,lil,try,dick,again,live,always,came,watch,play,everything,people,while,ho,hold,til,pull,done,young,turn,game,rock,pussy,another,whole,hot,am,would,name,same,into,away,ride,die,face,i’m,thing,okay,break,everybody,goin,were,beat,straight,top,ive,first,our,should,home,bring,nothin,find,used,smoke,left,mean,work,move,lot,last,hell,drop,much,gone,many,crazy,pop,though,other,fucking,roll,start,girls,kill,three,eyes,please,ready,hear,yes,alone,things,cash,party,talkin,walk,best,heard,house,mad,because,nothing,friends,white,thought,nobody,theres,throw,body,old,fucked,doin,something,seen,wild,enough,pain,gun,heart,going,fly,dead,block,since,feelin,mama,getting,blow,believe,cold,hood,tech,uhhuh,hes,own,full,took,wet,woah,stand,light,city,hate,motherfucker,hope,didnt,tickets,n9ne,gold,word,round,rich,went,hands,wrong,lookin,their,liveget,next,streets,side,gave,inside,wait,times,motherfuckin,na,different,catch,gangsta,somethin,livin,comin,without,rain,free,id,street,cut,bust,mine,ask,ah,change,hundred,sound,alright,ice,started,gang,son,car,g,song,wish,shot,flow,cool,hol,broke,pay,listen,sure,myself,pass,place,until,motherfuckers,hand,deep,act,weed,nah,problem,goes,dope,runnin,lost,bag,soul,crack,type,music,shoot,end,any,front,club,most,fall,days,ball,eat,sayin,west,must,lie,red,true,bang,bounce,lord,care,shake,matter,la,after,close,homie,kids,fast,tryin,makin,somebody,maybe,guess,king,knew,brother,style,set,step,coming,looking,brain,kid,youll,booty,peace,line,probably,bit,tonight,four,open,couldnt,phone,ha,lose,slow,diamonds,daddy,floor,death,yours,friend,those,dog,understand,trust,boys,wasnt,police,blood,million,dance,don’t,five,wit,mouth,shut,remember,hurt,talking,air,tried,bank,sit,yuh,trap,fight,couple,kick,poppin,being,swear,caught,room
0,Total,30668.0,26498.0,21381.0,17980.0,15219.0,13840.0,12327.0,11479.0,10395.0,9896.0,9253.0,8807.0,8662.0,8560.0,6554.0,6270.0,6068.0,5814.0,5599.0,5037.0,5018.0,5005.0,4960.0,4885.0,4821.0,4683.0,4550.0,4358.0,4327.0,4181.0,4135.0,3934.0,3822.0,3755.0,3726.0,3586.0,3547.0,3480.0,3447.0,3270.0,3209.0,3079.0,3055.0,2975.0,2965.0,2896.0,2691.0,2673.0,2602.0,2510.0,2393.0,2381.0,2370.0,2277.0,2266.0,2260.0,2198.0,2137.0,2104.0,2070.0,2045.0,2000.0,1993.0,1989.0,1897.0,1880.0,1810.0,1788.0,1778.0,1754.0,1741.0,1733.0,1697.0,1638.0,1638.0,1596.0,1586.0,1563.0,1561.0,1555.0,1519.0,1502.0,1459.0,1449.0,1447.0,1409.0,1378.0,1353.0,1326.0,1316.0,1308.0,1286.0,1283.0,1265.0,1261.0,1253.0,1244.0,1244.0,1239.0,1195.0,1191.0,1186.0,1124.0,1119.0,1114.0,1092.0,1090.0,1086.0,1085.0,1084.0,1084.0,1077.0,1059.0,1054.0,1040.0,1038.0,1024.0,1008.0,998.0,996.0,992.0,983.0,962.0,960.0,935.0,929.0,925.0,922.0,910.0,900.0,896.0,887.0,876.0,874.0,873.0,870.0,853.0,849.0,810.0,810.0,797.0,795.0,795.0,791.0,784.0,752.0,748.0,734.0,727.0,725.0,722.0,700.0,697.0,689.0,687.0,683.0,682.0,681.0,678.0,662.0,660.0,654.0,652.0,647.0,639.0,632.0,629.0,626.0,623.0,616.0,612.0,604.0,599.0,593.0,583.0,579.0,578.0,575.0,559.0,558.0,558.0,553.0,553.0,547.0,539.0,533.0,529.0,514.0,513.0,513.0,511.0,511.0,507.0,504.0,503.0,501.0,500.0,491.0,490.0,490.0,488.0,485.0,484.0,482.0,481.0,477.0,476.0,476.0,476.0,475.0,473.0,472.0,469.0,469.0,469.0,468.0,467.0,467.0,464.0,464.0,463.0,462.0,462.0,461.0,453.0,449.0,446.0,444.0,441.0,440.0,438.0,436.0,436.0,432.0,431.0,431.0,426.0,422.0,420.0,415.0,411.0,410.0,407.0,407.0,400.0,398.0,392.0,389.0,388.0,385.0,383.0,380.0,377.0,376.0,376.0,374.0,373.0,371.0,367.0,365.0,365.0,364.0,363.0,362.0,359.0,359.0,358.0,357.0,354.0,353.0,351.0,351.0,348.0,347.0,346.0,346.0,345.0,345.0,345.0,338.0,336.0,336.0,336.0,335.0,334.0,334.0,333.0,333.0,331.0,330.0,328.0,324.0,323.0,320.0,317.0,315.0,315.0,314.0,314.0,313.0,313.0,312.0,310.0,308.0,307.0,305.0,303.0,301.0,301.0,300.0,300.0,300.0,299.0,299.0,297.0,297.0,296.0,296.0,294.0,294.0,292.0,290.0,289.0,289.0,289.0,287.0,287.0,285.0,284.0,283.0,281.0,280.0,280.0,280.0,277.0,277.0,277.0,276.0,275.0,275.0,274.0,274.0,274.0,274.0,274.0,273.0,272.0,272.0,272.0,270.0,266.0,266.0,265.0,263.0,262.0,261.0,261.0,260.0,259.0,259.0,259.0,259.0,258.0,257.0,257.0,255.0,255.0,254.0,253.0,253.0,253.0,253.0,252.0,251.0,250.0,249.0,248.0,248.0,248.0,247.0,247.0,246.0,246.0,245.0,245.0,245.0,244.0,242.0,241.0,240.0,239.0,238.0,237.0,236.0,236.0,235.0,235.0,232.0,231.0,231.0,230.0,230.0,229.0,229.0,228.0,228.0,228.0,228.0,226.0,226.0,226.0,226.0,225.0,224.0,223.0,222.0,222.0,222.0,221.0,220.0,220.0,220.0,218.0,217.0,216.0,216.0,215.0,214.0,214.0,213.0,213.0,212.0,211.0,209.0,209.0,209.0,209.0,207.0,207.0,207.0,207.0,206.0,206.0,205.0,205.0,204.0,204.0,203.0,203.0,202.0,201.0,201.0,200.0,200.0,198.0,197.0,197.0,196.0,195.0,195.0,195.0,195.0,195.0,194.0,194.0,193.0,193.0,193.0,191.0,191.0,190.0,190.0,189.0,189.0,188.0,188.0,188.0,188.0,188.0,187.0,187.0,187.0,187.0,185.0,185.0,185.0,184.0,184.0,184.0,184.0,184.0,183.0,182.0,182.0,182.0,182.0,181.0,180.0,180.0,180.0
1,The Notorious B.I.G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tupac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Eminem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Kendrick Lamar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Nas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Dr. Dre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ice Cube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Snoop Dogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,JAY-Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
